PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"21085998","Arbuscular mycorrhizal fungal diversity and species dominance in a temperate soil with long-term conventional and low-input cropping systems","Vestberg M, Kahiluoto H, Wallius E.","Mycorrhiza. 2011 Jul;21(5):351-361. doi: 10.1007/s00572-010-0346-y. Epub 2010 Nov 18.","Vestberg M","Mycorrhiza","2011","2010/11/19","","","10.1007/s00572-010-0346-y"
"34042379","[Compositions and metabolic footprints of soil nematode communities under different alfalfa-crop planting patterns in semi-arid region of the Loess Plateau, Northwest China.]","Huo N, Huang JH, Geng DZ, Wang N, Yang PP, Zhao SW.","Ying Yong Sheng Tai Xue Bao. 2021 May;32(5):1825-1834. doi: 10.13287/j.1001-9332.202105.033.","Huo N","Ying Yong Sheng Tai Xue Bao","2021","2021/05/27","","","10.13287/j.1001-9332.202105.033"
"30856960","First Report of Natural Infection of Pisum sativum subsp. elatius by Mycosphaerella pinodes in Bulgaria","Kaiser WJ, Muehlbauer FJ, Hannan RM, Mihov M.","Plant Dis. 1998 Jul;82(7):830. doi: 10.1094/PDIS.1998.82.7.830B.","Kaiser WJ","Plant Dis","1998","2019/03/13","","","10.1094/PDIS.1998.82.7.830B"
"34129355","First report of Fusarium commune causing root and crown rot on maize in Italy","Mezzalama M, Guarnaccia V, Martino I, Tabome G, Gullino ML.","Plant Dis. 2021 Jun 15. doi: 10.1094/PDIS-01-21-0075-PDN. Online ahead of print.","Mezzalama M","Plant Dis","2021","2021/06/15","","","10.1094/PDIS-01-21-0075-PDN"
"30727497","First Report of Rhizoctonia solani AG4 HG-II Infecting Potato Stems in Idaho","Woodhall JW, Wharton PS, Peters JC.","Plant Dis. 2012 Nov;96(11):1701. doi: 10.1094/PDIS-06-12-0568-PDN.","Woodhall JW","Plant Dis","2012","2019/02/08","","","10.1094/PDIS-06-12-0568-PDN"
"30754406","First Report of Phytophthora sansomeana Causing Wilting and Stunting on Corn in Ohio","Zelaya-Molina LX, Ellis ML, Berry SA, Dorrance AE.","Plant Dis. 2010 Jan;94(1):125. doi: 10.1094/PDIS-94-1-0125C.","Zelaya-Molina LX","Plant Dis","2010","2019/02/14","","","10.1094/PDIS-94-1-0125C"
"30823149","First Report of Fusarium oxysporum f. sp. lentis of Lentil in Italy","Tosi L, Cappelli C.","Plant Dis. 2001 May;85(5):562. doi: 10.1094/PDIS.2001.85.5.562A.","Tosi L","Plant Dis","2001","2019/03/03","","","10.1094/PDIS.2001.85.5.562A"
"16313587","The voyage of an invasive species across continents: genetic diversity of North American and European Colorado potato beetle populations","Grapputo A, Boman S, Lindström L, Lyytinen A, Mappes J.","Mol Ecol. 2005 Dec;14(14):4207-19. doi: 10.1111/j.1365-294X.2005.02740.x.","Grapputo A","Mol Ecol","2005","2005/11/30","","","10.1111/j.1365-294X.2005.02740.x"
"16232292","Ascomycete communities in the rhizosphere of field-grown wheat are not affected by introductions of genetically modified Pseudomonas putida WCS358r","Viebahn M, Doornbos R, Wernars K, van Loon LC, Smit E, Bakker PA.","Environ Microbiol. 2005 Nov;7(11):1775-85. doi: 10.1111/j.1462-2920.2005.00783.x.","Viebahn M","Environ Microbiol","2005","2005/10/20","","","10.1111/j.1462-2920.2005.00783.x"
"32931385","Rhizoctonia solani AG 2-2 IIIB causing root rot of onion in Idaho","Brown L, Harrington S, Harrington M, Murdock MR, Pizolotto CA, Woodhall JW.","Plant Dis. 2020 Sep 15. doi: 10.1094/PDIS-08-20-1724-PDN. Online ahead of print.","Brown L","Plant Dis","2020","2020/09/15","","","10.1094/PDIS-08-20-1724-PDN"
"30832181","Stem Canker on Cotton Caused by Phoma exigua in North Carolina and Virginia","Koenning SR, Abdel Alim FF, Grand LF, Phipps PM.","Plant Dis. 2000 Nov;84(11):1251. doi: 10.1094/PDIS.2000.84.11.1251B.","Koenning SR","Plant Dis","2000","2019/03/06","","","10.1094/PDIS.2000.84.11.1251B"
"30866400","First Report of Sclerotium rolfsii on Sunflower in Italy","Infantino A, Di Giambattista G, Socciarelli S.","Plant Dis. 1997 Aug;81(8):960. doi: 10.1094/PDIS.1997.81.8.960B.","Infantino A","Plant Dis","1997","2019/03/15","","","10.1094/PDIS.1997.81.8.960B"
"19274197","Degradation of fenamiphos in agricultural production soil","Johnson AW.","J Nematol. 1998 Mar;30(1):40-4.","Johnson AW","J Nematol","1998","2009/03/11","PMC2620284","",""
"24564149","[Characteristics of seasonal drought and its adaptation in southern China under the background of global climate change. VI. Optimized layout of cropping system for preventing and avoiding drought disaster]","Sui Y, Huang WH, Yang XG, Li MS.","Ying Yong Sheng Tai Xue Bao. 2013 Nov;24(11):3192-8.","Sui Y","Ying Yong Sheng Tai Xue Bao","2013","2014/02/26","","",""
"18944032","The Effects of Founding Events and Agricultural Practices on the Genetic Structure of Three Metapopulations of Globodera pallida","Folkertsma RT, van Koert P, van der Voort JN, de Groot KE, Kammenga JE, Helder J, Bakker J.","Phytopathology. 2001 Aug;91(8):753-8. doi: 10.1094/PHYTO.2001.91.8.753.","Folkertsma RT","Phytopathology","2001","2008/10/24","","","10.1094/PHYTO.2001.91.8.753"
"30708903","Occurrence of Fusarium Wilt Caused by Fusarium oxysporum f. sp. spinaciae on Spinach (Spinacia oleracea) in Southern Italy","Sigillo L, Senape V, Serratore G, Infantino A.","Plant Dis. 2014 Jul;98(7):1003. doi: 10.1094/PDIS-12-13-1208-PDN.","Sigillo L","Plant Dis","2014","2019/02/03","","","10.1094/PDIS-12-13-1208-PDN"
"15943353","[Dynamics of soil nitrogen, phosphorus and organic matter in alfalfa-crop rotated farmland in semiarid area of Northwest China]","Wang J, Li F, Jia Y, Wang Y.","Ying Yong Sheng Tai Xue Bao. 2005 Mar;16(3):439-44.","Wang J","Ying Yong Sheng Tai Xue Bao","2005","2005/06/10","","",""
"19274265","Reproduction of Meloidogyne chitwoodi on Popcorn Cultivars","Cardwell DM, Ingham RE.","J Nematol. 1997 Dec;29(4S):657-61.","Cardwell DM","J Nematol","1997","2009/03/11","PMC2619824","",""
"19308119","Integrated approach to the control of the golden nematode, heterodera rostochiensis","Guskova LA, Gladkaja RM.","J Nematol. 1974 Oct;6(4):185-6.","Guskova LA","J Nematol","1974","2009/03/25","PMC2620070","",""
